Date,HV_BULL,HV_BEAR,LV_BEAR,LV_BULL
2013-02-28,0.9999296065127978,1.9909913673534696e-11,4.310686325696106e-05,2.7286604402667925e-05
2013-03-01,0.9998969925969491,1.9254578527605972e-11,8.854528743690453e-05,1.4462095942197212e-05
2013-03-04,0.9999295633966903,1.1428805382951232e-11,4.427825486908179e-05,2.6158337362763433e-05
2013-03-05,0.9998901716278754,2.685911739102975e-12,2.3271983269879524e-05,8.655638643837238e-05
2013-03-06,0.9996528110932408,1.1405227648896487e-12,9.66403064899083e-06,0.00033752487506858705
2013-03-07,0.9997194045531301,5.938674615715496e-13,1.2736341120878228e-05,0.00026785910547877736
2013-03-08,0.9997499701509455,6.458577141573292e-13,1.2545256674487909e-05,0.0002374845913845151
2013-03-11,0.9997536055491608,5.132375377126177e-13,1.1097123690235253e-05,0.00023529732691563463
2013-03-12,0.999782684341501,3.847559659422049e-13,1.1170152239979874e-05,0.00020614550556787625
2013-03-13,0.9997270469021974,4.581051542102958e-13,1.0470242471536239e-05,0.00026248285457484576
2013-03-14,0.9997333597275043,4.567516759165294e-13,1.1422280723905088e-05,0.0002552179914980711
2013-03-15,0.9997797712926041,7.585489910432556e-13,1.0926788844454344e-05,0.00020930191791619684
2013-03-18,0.9999117524699112,8.693088146871355e-13,1.9788202463123287e-05,6.845932716854784e-05
2013-03-19,0.9998118433462935,7.667837290818358e-13,1.872268864575997e-05,0.00016943396464686136
2013-03-20,0.9967983423862129,7.37320296356276e-13,9.39860069799687e-06,0.0031922590123512258
2013-03-21,0.9835663080363707,7.480249844546825e-15,8.617062287264402e-06,0.016425074901080573
2013-03-22,0.9153927287491854,7.653209425817972e-17,1.7030880805646712e-07,0.08460710094206378
2013-03-25,0.009700854458671915,4.1379470323325236e-19,1.5953676545402892e-09,0.9902991439458806
2013-03-26,0.00012001162248621389,5.401706289184948e-22,1.8443385090248174e-13,0.9998799883775527
2013-03-27,1.2830500675171154e-07,3.165660512394691e-23,4.647244939284341e-15,0.9999998716948622
2013-03-28,1.1784018705402943e-07,1.373661672118134e-23,1.0589063844685946e-14,0.9999998821595069
2013-04-01,2.640507697170745e-07,4.9286458694102775e-23,1.914133103383503e-13,0.9999997359491666
2013-04-02,2.0147925441398488e-06,4.200595201754756e-23,5.602029861974202e-13,0.9999979852066023
2013-04-03,3.712482187755367e-06,4.091547006166843e-23,5.987256629471231e-13,0.9999962875168212
2013-04-04,2.8519317553135194e-06,4.896490485097772e-23,3.289208497269941e-13,0.9999971480678791
2013-04-05,1.67207691538571e-06,2.5989567669246925e-22,2.2749176036871405e-13,0.9999983279226735
2013-04-08,1.348821807651202e-06,1.82292745516349e-20,2.644477637144445e-13,0.9999986511775206
2013-04-09,2.1221437146637887e-06,1.5568008021838255e-18,2.969776787566159e-11,0.9999978778264229
2013-04-10,0.00020753515770601547,1.1089392385154124e-16,9.852375623204135e-09,0.9997924549897752
2013-04-11,0.00350523705617452,2.952010455195102e-14,1.546415176985975e-07,0.996494608302535
2013-04-12,0.058594716522065195,4.820030596938889e-13,2.642926314515931e-06,0.9414026405508498
2013-04-15,0.9578209561829568,3.515982194673279e-13,6.564855996750332e-05,0.04211339525656974
2013-04-16,0.9981078801281004,7.63195420547954e-12,2.5388987505739197e-05,0.00186673087655215
2013-04-17,0.9999070234414248,3.734512621464596e-12,2.9508279850637705e-05,6.346827533241408e-05
2013-04-18,0.9999397812131617,1.0171932265918801e-11,3.948339353220262e-05,2.0735383498071458e-05
2013-04-19,0.9999061638800616,1.1423543658282519e-11,7.89796381643136e-05,1.4856470550597827e-05
2013-04-22,0.9999257237151457,3.345643634229539e-11,4.829913435497263e-05,2.5977117386598023e-05
2013-04-23,0.999909462338708,2.929379982731133e-11,7.38603833144339e-05,1.667724906539217e-05
2013-04-24,0.9999174687916939,2.5454445410862113e-11,6.559847980346105e-05,1.693270303514744e-05
2013-04-25,0.9999316252235859,1.5149175429672758e-11,4.6058719318026115e-05,2.231604165960067e-05
2013-04-26,0.9999305631361115,6.127353604489828e-12,4.74045868560794e-05,2.2032270952720664e-05
2013-04-29,0.9999117323418416,3.556348243517588e-12,2.463425907469878e-05,6.363339550690143e-05
2013-04-30,0.9998394193431542,1.1289259852505231e-12,1.374434356959843e-05,0.00014683631188111486
2013-05-01,0.9998078460778796,5.759574648601265e-13,1.1537105031374067e-05,0.0001806168164659011
2013-05-02,0.9998068950851697,9.1164697518331e-13,1.2972338467668014e-05,0.00018013257574518943
2013-05-03,0.9998525616245457,2.503827453248592e-12,1.986077165401149e-05,0.00012757760111185092
2013-05-06,0.9998938384709027,4.470307266162328e-12,2.7394383561057572e-05,7.876714120046804e-05
2013-05-07,0.9998816454558219,5.986175344864503e-12,2.249688335456222e-05,9.585765481520102e-05
2013-05-08,0.9996896668354655,6.6755257623009765e-12,3.0167970542170964e-05,0.00028016518760158734
2013-05-09,0.9973102365756257,8.128259636846704e-14,1.5736555269931722e-05,0.002674026868696964
2013-05-10,0.9530488983574023,1.5995280982314136e-15,7.681533885010345e-07,0.04695033348953759
2013-05-13,0.04282786481938921,7.53305991855079e-16,2.230606737460294e-08,0.9571721128747375
2013-05-14,0.002256228800340214,3.1621123663831895e-17,9.083569206472176e-10,0.9977437702913844
2013-05-15,9.951522490569891e-05,1.2173373990176038e-18,8.246112081185525e-11,0.9999004846929492
2013-05-16,2.6045007068560752e-05,4.291655656638032e-20,9.746048931766003e-12,0.9999739549829696
2013-05-17,1.5391919784871133e-05,1.0336894856771151e-20,1.2353131498919925e-11,0.9999846080675023
2013-05-20,1.769583535220627e-05,3.535512351536974e-20,8.348717121225513e-12,0.9999823041563597
2013-05-21,1.659319904986403e-05,2.9704791674177854e-19,5.583818417465551e-11,0.9999834067451677
2013-05-22,0.0001279836078499295,1.0698912706664116e-18,7.770804405046703e-10,0.9998720156152286
2013-05-23,0.0004387814032175795,6.011672440792532e-18,2.281975636586797e-09,0.9995612163148291
2013-05-24,0.0004343066049172335,1.1692751136171857e-17,1.4027825014288476e-09,0.9995656919926384
2013-05-28,0.000319577979471026,5.808107987618093e-18,1.0328096212532453e-09,0.9996804209876573
2013-05-29,0.00034186589142515934,1.481477260138734e-17,8.757560993360421e-10,0.9996581332326935
2013-05-30,0.00027081829397847354,1.339823380063083e-16,3.2776508512521376e-09,0.9997291784281969
2013-05-31,0.0017939152551500945,5.740772119735944e-16,3.326098610126348e-08,0.9982060514841273
2013-06-03,0.007164760812320102,1.5369539903993936e-14,1.6305661031608733e-07,0.9928350761310999
2013-06-04,0.07630321171274503,1.4401702863429562e-13,2.0867887377563e-06,0.9236947014985237
2013-06-05,0.741543659551482,4.772280959774291e-13,4.270542330896265e-05,0.2584136350246175
2013-06-06,0.8603589021118162,6.895013036203755e-12,9.953335754820381e-06,0.13963114454597517
2013-06-07,0.9788467770767856,9.888244651133422e-13,2.1434594193940516e-05,0.021131788327989336
2013-06-10,0.9969036739550924,8.064094624228115e-13,1.0957850542011386e-05,0.003085368193270416
2013-06-11,0.9993368920061237,7.619458336410224e-13,1.0214415666893142e-05,0.0006528935776156647
2013-06-12,0.9998077443240744,1.99229119473371e-12,1.85632695430106e-05,0.0001736924043244725
2013-06-13,0.9998603932715554,1.3958120537377538e-12,2.1965924702407792e-05,0.00011764080256374249
2013-06-14,0.9999002980486689,1.0414677134356646e-12,1.6220677727787672e-05,8.348127243977851e-05
2013-06-17,0.9998565339550939,2.3701158280392175e-12,1.4966207330635767e-05,0.00012849983478960877
2013-06-18,0.9999193712075393,3.4325134532654116e-12,3.862453199440607e-05,4.20042574454981e-05
2013-06-19,0.9999328597753497,1.4309509645584234e-11,3.0210602655174883e-05,3.6929607540327805e-05
2013-06-20,0.9998865148588932,1.935128075715735e-11,0.00010624833539656267,7.236786687821687e-06
2013-06-21,0.9999020086963926,1.0129633179780754e-10,8.825965211784124e-05,9.731549900826245e-06
2013-06-24,0.9998224206758836,1.1314737242176409e-10,0.0001735224517237519,4.05675951485696e-06
2013-06-25,0.9998582094346112,3.3988467616350497e-10,0.00013375361860419163,8.036606550983311e-06
2013-06-26,0.9996689043354524,5.854512055337368e-10,0.0003244665893143806,6.6284900280008445e-06
2013-06-27,0.9993846468720989,2.959518184628729e-09,0.0006099080359482413,5.4421325414571676e-06
2013-06-28,0.9985796732890124,9.127124474597134e-09,0.0014158370590846485,4.480524785299154e-06
2013-07-01,0.9956702941907467,1.773804044535154e-08,0.00432770850878268,1.9795622129201677e-06
2013-07-02,0.9966774560768887,1.0949827788536842e-08,0.0033202961484728594,2.2368250819987663e-06
2013-07-03,0.9991608242476422,6.774868619361401e-09,0.0008319174124480313,7.251564770945435e-06
