Date,Close,VWAP,signal,equity
2007-01-03,1416.6,,0.0,1.0
2007-01-04,1418.34,,0.0,1.0
2007-01-05,1409.71,,0.0,1.0
2007-01-08,1412.84,,0.0,1.0
2007-01-09,1412.11,1413.5936381004665,-1.0,1.0
2007-01-10,1414.85,1413.3559951560876,1.0,0.9979096412460785
2007-01-11,1423.82,1414.5348730832618,1.0,1.0039369103878266
2007-01-12,1430.73,1416.0971706938005,1.0,1.008809158319995
2007-01-16,1431.9,1417.6317738353218,1.0,1.0096341264937487
2007-01-17,1430.62,1418.9280799449111,1.0,1.0087315972096422
2007-01-18,1426.37,1419.725270933792,1.0,1.0057349179460076
2007-01-19,1430.5,1420.4821405306286,1.0,1.0086469850892572
2007-01-22,1422.95,1420.7872277968145,1.0,1.0033234725150357
2007-01-23,1427.99,1421.250338496538,1.0,1.0068771815712048
2007-01-24,1440.13,1422.2178078885086,1.0,1.0154371077501516
2007-01-25,1423.9,1422.6611804220404,1.0,1.0039933184680834
2007-01-26,1422.18,1422.6326405633429,-1.0,1.0027805447425653
2007-01-29,1420.62,1422.5991287994793,-1.0,1.0035796681441473
2007-01-30,1428.82,1422.7746866945288,1.0,0.9977868781800597
2007-01-31,1438.24,1423.4101825076766,1.0,1.0040658041737271
2007-02-01,1445.94,1424.785063580095,1.0,1.0094413372503608
2007-02-02,1448.39,1426.2903490977494,1.0,1.0111517341383807
2007-02-05,1446.99,1427.9868891780432,1.0,1.0101743644880836
2007-02-06,1448.0,1429.7684445845475,1.0,1.010879466878655
2007-02-07,1450.02,1431.7688293592596,1.0,1.0122896716597978
2007-02-08,1448.31,1433.5581181848013,1.0,1.0110958844440778
2007-02-09,1438.06,1434.5820970289874,1.0,1.003940142361546
2007-02-12,1433.37,1434.9000039379691,-1.0,1.0006659540330507
2007-02-13,1444.26,1435.3410834241315,1.0,0.9927632146098873
2007-02-14,1455.3,1436.3687653139084,1.0,1.0000541202842073
2007-02-15,1456.81,1437.7126246329528,1.0,1.0010917631905696
2007-02-16,1455.54,1438.9103124930414,1.0,1.0002190436600529
2007-02-20,1459.68,1440.3372077702109,1.0,1.0030639718933907
2007-02-21,1457.63,1441.8679478075146,1.0,1.0016552513913757
2007-02-22,1456.38,1442.7059816158082,1.0,1.0007962754755129
2007-02-23,1451.19,1443.9521394867427,1.0,0.9972298074728502
2007-02-26,1449.37,1445.4073788605492,1.0,0.9959791385393537
2007-02-27,1399.04,1444.1090049539812,-1.0,0.9613933322630506
2007-02-28,1406.82,1442.3026766691576,-1.0,0.955758648163041
2007-03-01,1403.17,1439.606875465797,-1.0,0.9582383677190575
2007-03-02,1387.17,1436.6233899593954,-1.0,0.9691649225082168
2007-03-05,1374.12,1432.680869882705,-1.0,0.9782824800092675
2007-03-06,1395.41,1429.5647599444342,-1.0,0.9631254093026352
2007-03-07,1391.97,1426.8994852100554,-1.0,0.965499730403961
2007-03-08,1401.89,1424.531693805179,-1.0,0.9586190093211736
2007-03-09,1402.84,1422.5010979152653,-1.0,0.9579693948301259
2007-03-12,1406.6,1420.7415407484914,-1.0,0.9554017713487872
2007-03-13,1377.95,1418.2220569853073,-1.0,0.9748616467569647
2007-03-14,1387.17,1414.8546661239009,-1.0,0.9683387508731524
2007-03-15,1392.28,1412.0843531059813,-1.0,0.9647716242650497
2007-03-16,1386.95,1409.0580003777143,-1.0,0.968465014069782
2007-03-19,1402.06,1406.772183059261,-1.0,0.9579141604971267
2007-03-20,1410.94,1404.954352970859,1.0,0.9518471749578384
2007-03-21,1435.04,1403.9660140089247,1.0,0.9678199428576594
2007-03-22,1434.54,1403.8458359417416,1.0,0.9674827327649589
2007-03-23,1436.11,1403.228824459477,1.0,0.9685415724560381
2007-03-26,1437.5,1402.4154408867398,1.0,0.9694790165137454
2007-03-27,1428.61,1402.9555928704865,1.0,0.9634834210655316
2007-03-28,1417.23,1403.5546717443983,1.0,0.9558085193556699
2007-03-29,1422.53,1404.722547645556,1.0,0.9593829463382945
2007-03-30,1420.86,1406.111281887385,1.0,0.958256664628675
2007-04-02,1424.55,1408.4015196172159,1.0,0.9607452751128043
2007-04-03,1437.77,1410.7607789182214,1.0,0.9696611099638037
2007-04-04,1439.37,1412.8433106326515,1.0,0.9707401822604449
2007-04-05,1443.76,1414.6505016314964,1.0,0.9737008868743549
2007-04-09,1444.61,1416.402565822226,1.0,0.9742741440319456
2007-04-10,1448.39,1418.269133376229,1.0,0.976823452332761
2007-04-11,1438.87,1421.3333242303258,1.0,0.9704029721677446
2007-04-12,1447.8,1425.1903759267127,1.0,0.9764255444233744
2007-04-13,1452.85,1428.0972414759476,1.0,0.9798313663596486
2007-04-16,1468.33,1432.2763478440552,1.0,0.990271390829654
2007-04-17,1471.48,1436.041893356217,1.0,0.9923958144136669
2007-04-18,1472.5,1439.35898500706,1.0,0.9930837230027757
2007-04-19,1470.73,1441.6306857667057,1.0,0.9918899992746162
2007-04-20,1484.35,1444.3400104966179,1.0,1.0010756021997758
2007-04-23,1480.93,1446.503265408098,1.0,0.998769085165705
2007-04-24,1480.41,1448.9974922283143,1.0,0.9984183866692965
2007-04-25,1495.42,1452.2601419106531,1.0,1.0085414336521634
2007-04-26,1494.25,1456.34592755903,1.0,1.0077523620352444
2007-04-27,1494.07,1459.9162889567838,1.0,1.0076309664018723
2007-04-30,1482.37,1463.4498809806648,1.0,0.9997402502326822
2007-05-01,1486.3,1466.6941218226682,1.0,1.0023907215613077
2007-05-02,1495.92,1469.8264497494567,1.0,1.008878643744864
2007-05-03,1502.39,1472.8288693843438,1.0,1.0132421423444076
2007-05-04,1505.62,1475.63686239747,1.0,1.0154205195432522
