strategy,IWM,QQQ,SPY
BuyHold,2.183307685304387,4.812825445546389,2.093006692659825
MOM,-0.5101576898651317,-0.24030637878371952,-0.12847149346406073
MOM+HMM,0.9257139644020893,0.355764514072459,1.002479696051687
MR,0.6657457827630631,0.40486749728539917,0.17218563574015278
MR+HMM,0.7381938162508235,0.10369392732723082,0.12128770979387204
HYB_default,-0.08396066486412346,0.3899584307817203,0.0761872060578852
HYB_contrarian,0.1823370784275129,0.1503932558439578,-0.18998176320334403
HYB_bullmom,-0.17191534710931755,-0.02765714724381718,0.3260385789963003
HYB_calmonly,-0.1656293951422635,0.07419286423825944,0.06605470210453324
BLEND50,-0.05424482131304309,0.02552086529531361,0.09928079861322003
