ticker,strategy,window,k_entry,CAGR,Sharpe,MaxDD,TotalReturn,Volatility,HitRate,AvgExposure,Turnover,N
IWM,MR+HMM,10.0,1.5,0.056086448454699234,0.9372004977296988,-0.09498336949941066,0.7381938162508235,0.06015668609250894,0.10810810810810811,0.20211515863689777,249.0,2553
IWM,BuyHold,,,0.1210831946181028,0.6287627434537559,-0.333100201417877,2.183307685304387,0.22049189958821092,0.5338817077947513,0.9996083039561301,1.0,2553
IWM,MOM+HMM,50.0,2.5,0.06682040914995602,0.5473166521519818,-0.3238627655417461,0.9257139644020893,0.1347653960376736,0.37132784958871917,0.7160203681942813,429.0,2553
IWM,MR,20.0,2.0,0.05165773753192071,0.4819681522334935,-0.22948952303855985,0.6657457827630631,0.1192444112953604,0.12025068546807677,0.23305914610262438,122.0,2553
IWM,HYB_contrarian,50.0,1.5,0.01667022755238512,0.1981972084741353,-0.22088368643039225,0.1823370784275129,0.11909232080004724,0.20799059929494712,0.4206815511163337,380.0,2553
IWM,BLEND50,50.0,1.5,-0.005489938755505075,-0.019623643738997193,-0.3244390749147795,-0.05424482131304309,0.08710749908205484,0.31805718762240504,0.3147277712495104,246.5,2553
IWM,HYB_default,20.0,2.5,-0.008618884356151324,-0.03775613457605778,-0.3557800608322098,-0.08396066486412346,0.09911707905746513,0.23580101840971407,0.47473560517038776,335.0,2553
IWM,HYB_bullmom,20.0,2.5,-0.018447869766240133,-0.08251237078173523,-0.4015807026012471,-0.17191534710931755,0.12731384101608165,0.3521347434390913,0.7019193106149628,589.0,2553
IWM,HYB_calmonly,20.0,2.5,-0.017714913007313426,-0.13439132716902016,-0.40047488010281374,-0.1656293951422635,0.09756137776327661,0.22953388170779476,0.4657265961613788,339.0,2553
IWM,MOM,50.0,2.5,-0.06802071006315957,-0.21170590045991375,-0.6611800295713626,-0.5101576898651317,0.21914128899854826,0.49588719153936545,0.9952996474735605,403.0,2553
QQQ,BuyHold,,,0.1897362204692361,1.0359729933257398,-0.2315519109041474,4.812825445546389,0.18412683575254726,0.5558166862514688,0.9996083039561301,1.0,2553
QQQ,MR+HMM,10.0,2.5,0.0097863117081185,0.4542379724532202,-0.04463864682614904,0.10369392732723082,0.021968310220006892,0.020759890325107718,0.04191147669408539,44.0,2553
QQQ,MR,10.0,2.0,0.0341242050029682,0.4193323385379143,-0.2919736991065337,0.40486749728539917,0.08956792545738568,0.10379945162553858,0.20799059929494712,196.0,2553
QQQ,HYB_default,50.0,1.5,0.033035717191821856,0.3671854708776069,-0.2647785722306939,0.3899584307817203,0.10295747611144239,0.27418723070896983,0.5127301214257736,214.0,2553
QQQ,MOM+HMM,50.0,2.5,0.03049897768810772,0.3255802676067733,-0.42555186506534204,0.355764514072459,0.11130605262138359,0.30513121817469646,0.5648256952604779,286.0,2553
QQQ,HYB_contrarian,50.0,2.5,0.013925353670475538,0.19353438823119412,-0.2468605257938905,0.1503932558439578,0.0945416458221468,0.190755973364669,0.36662749706227965,229.0,2553
QQQ,HYB_calmonly,50.0,1.5,0.007089457027110502,0.12492040900156944,-0.28911669065438905,0.07419286423825944,0.0866579581886647,0.2463768115942029,0.46337641989815903,162.0,2553
QQQ,BLEND50,50.0,2.0,0.002490586572551523,0.07108361714637648,-0.24773380288194868,0.02552086529531361,0.0801490738041713,0.40031335683509595,0.38738738738738737,189.5,2553
QQQ,HYB_bullmom,10.0,2.0,-0.0027645989748915634,0.03910168703258048,-0.45045484481813436,-0.02765714724381718,0.12311137492662266,0.3188405797101449,0.6157461809635723,648.0,2553
QQQ,MOM,50.0,2.0,-0.026764068992433554,-0.05643038342437496,-0.4946004643945272,-0.24030637878371952,0.18314442626792976,0.5193889541715628,0.9952996474735605,331.0,2553
SPY,MOM+HMM,50.0,2.0,0.07094460185470908,0.7581289898164894,-0.15004703345844772,1.002479696051687,0.09656216814231736,0.38777908343125733,0.7171954563258911,353.0,2553
SPY,BuyHold,,,0.11790325624048204,0.7579404022243672,-0.2713169972042686,2.093006692659825,0.1650750786744392,0.5491578535056796,0.9996083039561301,1.0,2553
SPY,MR+HMM,20.0,2.0,0.011363886889228736,0.48028584390798085,-0.061727190289415645,0.12128770979387204,0.024131943302893342,0.041128084606345476,0.07677242459851155,64.0,2553
SPY,HYB_bullmom,50.0,2.5,0.028246406029242,0.36363786511266055,-0.26154750041108765,0.3260385789963003,0.08702003432144062,0.36231884057971014,0.6835095965530749,339.0,2553
SPY,MR,50.0,2.5,0.015805254477741615,0.2737506067295418,-0.12093445582339479,0.17218563574015278,0.0649834484143794,0.03799451625538582,0.07128867998433217,18.0,2553
SPY,BLEND50,20.0,1.5,0.009387046940484645,0.17844987602974158,-0.22109627370703344,0.09928079861322003,0.06372250983308625,0.31688209949079515,0.30493537015276145,373.5,2553
SPY,HYB_default,50.0,2.5,0.007273861743056997,0.1427145983481084,-0.2700766687641295,0.0761872060578852,0.06612052369612129,0.23932628280454368,0.45593419506462984,177.0,2553
SPY,HYB_calmonly,50.0,1.5,0.006333757420144304,0.12157215391532666,-0.2626582026319142,0.06605470210453324,0.07532456204054921,0.25068546807677244,0.4774774774774775,219.0,2553
SPY,MOM,20.0,1.5,-0.013481232858555958,-0.0001556915138220023,-0.5137274784339553,-0.12847149346406073,0.1646911581430116,0.5088131609870741,0.9980415197806503,595.0,2553
SPY,HYB_contrarian,10.0,2.5,-0.020582726882166114,-0.2599289890229087,-0.3437458423819165,-0.18998176320334403,0.07048392469563333,0.07794751273012143,0.17038777908343125,238.0,2553
