strat_full,BTC,ETH,HYPE,SOL,XRP
BuyHold(-),911398.5732023423,1981.8260651293103,0.5142650961305619,2077.5983733741973,254.44688832761656
MOM(-),2853.7537781071665,446.69822764428767,-0.7422410134903931,-0.9809927645336742,0.3384096873677471
MR(-),-0.9999999954835176,-0.9999659085027635,0.6124336500891034,-0.9994991880082179,-0.9999999986892528
MOM+HMM(IS),2686.223729575308,250.29109145581694,0.052029738377056045,-0.8785145576934646,167.13371930921917
MR+HMM(IS),-0.9990010277557456,-0.985362764923742,0.23731464373602384,-0.5187637305137658,-0.8238749935761565
HYB_default(IS),-0.999730830553109,-0.8976327859537769,1.710667220073392,-0.9999650520625206,-0.9999999304201136
MOM+HMM(WF),504.1979187730146,357.19276324004585,,-0.7970229628872768,18.921600825744722
MR+HMM(WF),-0.9896408005097634,-0.9863297320631274,,-0.8782717446050535,-0.9922599564476893
HYB_default(WF),-0.9853597387392066,-0.29473393411541093,,-0.9831119880670445,-0.9999859043630366
