time,Close,VWAP,signal_MOM,signal_MR,regime_IS,regime_WF
2020-04-11,0.0108322960133743,,0.0,0.0,,
2020-04-12,0.0125718959188272,,0.0,0.0,,
2020-04-13,0.0108812035148758,,0.0,0.0,,
2020-04-14,0.0093072211174657,,0.0,0.0,,
2020-04-15,0.0088935771386323,0.01095811469577327,-1.0,0.0,,
2020-04-16,0.009588747232055,0.010713421876972325,-1.0,0.0,,
2020-04-17,0.0092034056799403,0.010664559228277932,-1.0,0.0,,
2020-04-18,0.0094275855302957,0.010622426420365169,-1.0,0.0,,
2020-04-19,0.0084131380465257,0.010561732453245086,-1.0,1.0,,
2020-04-20,0.0074248700304172,0.01048022983690325,-1.0,1.0,,
2020-04-21,0.008081248044104,0.01039261693711241,-1.0,1.0,,
2020-04-22,0.0095407582453755,0.01027704868752066,-1.0,1.0,,
2020-04-23,0.0086364647989845,0.010203335212907956,-1.0,1.0,,
2020-04-24,0.0086812756598418,0.01017076460284133,-1.0,1.0,,
2020-04-25,0.0090091546403292,0.010153274218732066,-1.0,1.0,,
2020-04-26,0.0088438758725309,0.0101335253526417,-1.0,1.0,,
2020-04-27,0.0079465996485363,0.0100989617757583,-1.0,1.0,,
2020-04-28,0.0091539723250902,0.01005100981749208,-1.0,1.0,,
2020-04-29,0.0102793706423103,0.010045842043508939,1.0,0.0,,
2020-04-30,0.0097304968704081,0.010043339473304366,-1.0,0.0,,
2020-05-01,0.010001308702206,0.009845942362081615,1.0,0.0,HV_BULL,
2020-05-02,0.0098766938291704,0.009400012321211975,1.0,0.0,HV_BULL,
2020-05-03,0.0094909376336208,0.009173776137017095,1.0,0.0,HV_BULL,
2020-05-04,0.0092716825957633,0.009093905248675895,1.0,0.0,HV_BULL,
2020-05-05,0.0089844929340127,0.009098377881823586,-1.0,0.0,HV_BULL,
2020-05-06,0.0086724901136494,0.009035265625104144,-1.0,0.0,HV_BULL,
2020-05-07,0.0084100896931382,0.009006686944117652,-1.0,0.0,HV_BULL,
2020-05-08,0.0084543229752022,0.008981398180580543,-1.0,0.0,HV_BULL,
2020-05-09,0.0084355812375422,0.00898935168852102,-1.0,0.0,HV_BULL,
2020-05-10,0.007460070673218,0.009039980070631424,-1.0,0.0,HV_BULL,
2020-05-11,0.0071667773547138,0.009097657428318955,-1.0,1.0,HV_BULL,
2020-05-12,0.0074451609484686,0.00907806698829114,-1.0,1.0,LV_BULL,
2020-05-13,0.0076728308326548,0.009071986323977812,-1.0,1.0,LV_BULL,
2020-05-14,0.0079510487694229,0.009087587905186403,-1.0,1.0,LV_BULL,
2020-05-15,0.0077361057795431,0.009087245961304911,-1.0,1.0,LV_BULL,
2020-05-16,0.008288717141858,0.009083004946953655,-1.0,1.0,LV_BULL,
2020-05-17,0.0085462095836843,0.009128469858722094,-1.0,1.0,LV_BULL,
2020-05-18,0.0090462329477209,0.009184708960013567,-1.0,0.0,LV_BULL,
2020-05-19,0.0087056979283211,0.008963746889988683,-1.0,0.0,LV_BULL,
2020-05-20,0.0080761215455893,0.008780759478931883,-1.0,0.0,LV_BULL,
2020-05-21,0.0084057066479391,0.008628014539414678,-1.0,0.0,LV_BULL,
2020-05-22,0.008823927350319,0.008542497071365581,1.0,0.0,LV_BULL,
2020-05-23,0.008430129100551,0.008462210390913763,-1.0,0.0,LV_BULL,
2020-05-24,0.0076651425579832,0.008342627517885597,-1.0,0.0,LV_BULL,
2020-05-25,0.0083571745739817,0.00827582869396938,1.0,0.0,LV_BULL,
2020-05-26,0.0079748620332026,0.00824251812224678,-1.0,0.0,LV_BULL,
2020-05-27,0.0081888090562656,0.008215840536894786,-1.0,0.0,LV_BULL,
2020-05-28,0.0079888188923059,0.008198079061690814,-1.0,0.0,LV_BULL,
2020-05-29,0.0160875056738724,0.008317346713164451,1.0,-1.0,HV_BULL,
2020-05-30,0.0162745099404053,0.008659957235487202,1.0,-1.0,HV_BULL,
2020-05-31,0.0159052558611697,0.008847593974320717,1.0,-1.0,HV_BULL,
2020-06-01,0.0160468582287583,0.009086678967329174,1.0,-1.0,HV_BULL,
2020-06-02,0.0157596522580411,0.009325365514275102,1.0,-1.0,HV_BULL,
2020-06-03,0.0163032991963893,0.009562079510321658,1.0,-1.0,HV_BULL,
2020-06-04,0.0162879193870563,0.009764111510484577,1.0,-1.0,HV_BULL,
2020-06-05,0.018325251106048,0.011131888407673823,1.0,-1.0,HV_BULL,
2020-06-06,0.0172611566478172,0.011628477930228778,1.0,-1.0,HV_BULL,
2020-06-07,0.0170349620138171,0.011916432027007094,1.0,-1.0,HV_BULL,
2020-06-08,0.0185449744151737,0.01228812562406839,1.0,-1.0,HV_BULL,
2020-06-09,0.0182571167251278,0.0125825361855411,1.0,-1.0,HV_BULL,
2020-06-10,0.0179827661527511,0.012985982776651394,1.0,-1.0,HV_BULL,
2020-06-11,0.0158690650927026,0.01349010271536569,1.0,0.0,HV_BULL,
2020-06-12,0.0164962648932208,0.013804423045961614,1.0,0.0,HV_BULL,
2020-06-13,0.0169395858207633,0.014274233735416477,1.0,0.0,HV_BULL,
2020-06-14,0.0162439067318375,0.015353489249020202,1.0,0.0,HV_BULL,
2020-06-15,0.0158741931196126,0.015879970391733784,-1.0,0.0,HV_BULL,
2020-06-16,0.0162010729872011,0.016363019665024556,-1.0,0.0,HV_BULL,
2020-06-17,0.0162009105196979,0.016975816039848848,-1.0,0.0,HV_BULL,
2020-06-18,0.0172274569816884,0.017073760059331842,1.0,0.0,LV_BULL,
2020-06-19,0.019076483579574,0.017546308778337936,1.0,0.0,LV_BULL,
2020-06-20,0.01810923674277,0.017624434074159576,1.0,0.0,LV_BULL,
2020-06-21,0.0188320823010564,0.017739554998117125,1.0,0.0,LV_BULL,
2020-06-22,0.0204299046925,0.01787752622812874,1.0,0.0,LV_BULL,
2020-06-23,0.0198065020223278,0.017999708159643205,1.0,0.0,LV_BULL,
2020-06-24,0.0206627598253977,0.01824634958804759,1.0,0.0,LV_BULL,
2020-06-25,0.0199785046271293,0.01845090798624028,1.0,0.0,LV_BULL,
2020-06-26,0.0206846185862292,0.018595717567924844,1.0,0.0,LV_BULL,
2020-06-27,0.0199688435709074,0.01869948084684347,1.0,0.0,LV_BULL,
2020-06-28,0.0222977003894095,0.019040868604538873,1.0,-1.0,LV_BULL,
2020-06-29,0.0239350751412721,0.019311090887059342,1.0,-1.0,LV_BULL,
2020-06-30,0.0243478354448049,0.01992978389115235,1.0,-1.0,LV_BULL,
2020-07-01,0.0233509929584672,0.020167798448644164,1.0,-1.0,LV_BULL,
2020-07-02,0.0217593004095153,0.020327773916199877,1.0,-1.0,LV_BULL,
2020-07-03,0.0215731365464414,0.020400477277022325,1.0,-1.0,LV_BULL,
2020-07-04,0.0218982136671751,0.020509273705119294,1.0,-1.0,LV_BULL,
2020-07-05,0.0194166742466455,0.02054814070620105,-1.0,0.0,LV_BULL,
2020-07-06,0.0199130340873587,0.020567780919092987,-1.0,0.0,LV_BULL,
2020-07-07,0.0210910063808848,0.020608928135413138,1.0,0.0,LV_BULL,
2020-07-08,0.022295917378356,0.020762484866206438,1.0,0.0,LV_BULL,
2020-07-09,0.0238214094291166,0.021374072225857233,1.0,0.0,LV_BULL,
2020-07-10,0.0256465252130791,0.02163244983648079,1.0,-1.0,LV_BULL,
2020-07-11,0.02593197714356,0.021959976583259384,1.0,-1.0,LV_BULL,
2020-07-12,0.0285187515390829,0.022685516632522666,1.0,-1.0,LV_BULL,
2020-07-13,0.0330828728761599,0.02352954979949086,1.0,-1.0,HV_BULL,
2020-07-14,0.0337001443738874,0.024146697735411407,1.0,-1.0,HV_BULL,
2020-07-15,0.0382044071686673,0.025143775452484,1.0,-1.0,HV_BULL,
2020-07-16,0.029914312932999,0.026726228286564187,1.0,-1.0,HV_BULL,
2020-07-17,0.033505944323812,0.027725757590344288,1.0,-1.0,HV_BULL,
2020-07-18,0.0350414160072971,0.028306908103573194,1.0,-1.0,HV_BULL,
2020-07-19,0.0334233707835086,0.028598369155513878,1.0,-1.0,HV_BULL,
2020-07-20,0.0316048112418261,0.02908071599283099,1.0,0.0,HV_BULL,
2020-07-21,0.0357812132781916,0.02951976711804986,1.0,0.0,HV_BULL,
2020-07-22,0.0377379466891511,0.03026874997014517,1.0,0.0,HV_BULL,
2020-07-23,0.0401338910137523,0.030673228093645918,1.0,-1.0,HV_BULL,
2020-07-24,0.0378063765276381,0.030997432615581463,1.0,-1.0,HV_BULL,
2020-07-25,0.0485580002505389,0.033589639621706385,1.0,-1.0,HV_BULL,
2020-07-26,0.0607615574094583,0.03628002690363176,1.0,-1.0,HV_BULL,
2020-07-27,0.0670922578349302,0.04550940993263477,1.0,-1.0,HV_BULL,
2020-07-28,0.0708185994711131,0.0475652389558755,1.0,-1.0,HV_BULL,
2020-07-29,0.0651994430817676,0.0497381706125836,1.0,-1.0,HV_BULL,
2020-07-30,0.0698024363860282,0.050663059765448444,1.0,-1.0,HV_BULL,
2020-07-31,0.0637797759572036,0.05136890283983983,1.0,-1.0,HV_BULL,
2020-08-01,0.0637984242831331,0.052569274126675176,1.0,-1.0,HV_BULL,
2020-08-02,0.0717947640226717,0.05384846528602181,1.0,-1.0,HV_BULL,
2020-08-03,0.0747128236581242,0.05480958818407923,1.0,-1.0,HV_BULL,
2020-08-04,0.0791182027251032,0.05600127929245611,1.0,-1.0,HV_BULL,
2020-08-05,0.0734956705191511,0.05852261125362342,1.0,-1.0,HV_BULL,
2020-08-06,0.0917063866677484,0.0624484033610643,1.0,-1.0,HV_BULL,
2020-08-07,0.0909116616404726,0.06432297146485377,1.0,-1.0,HV_BULL,
2020-08-08,0.1111908890515703,0.06731498262202949,1.0,-1.0,HV_BULL,
2020-08-09,0.1203746745064841,0.07146239323969143,1.0,-1.0,HV_BULL,
2020-08-10,0.1410943427590417,0.08033929197747688,1.0,-1.0,HV_BULL,
2020-08-11,0.1541201475766085,0.09425425080484587,1.0,-1.0,HV_BULL,
2020-08-12,0.1793396402910595,0.10402841947530235,1.0,-1.0,HV_BULL,
2020-08-13,0.180019429700687,0.11277077711154085,1.0,-1.0,HV_BULL,
2020-08-14,0.1689522013793073,0.11956277410453227,1.0,-1.0,HV_BULL,
2020-08-15,0.1622171860312554,0.12375187882784083,1.0,-1.0,HV_BULL,
2020-08-16,0.171165377326963,0.13394037299010955,1.0,-1.0,HV_BULL,
2020-08-17,0.1584528963422833,0.1371521227710575,1.0,0.0,HV_BULL,
2020-08-18,0.1736304188495614,0.14379406904704484,1.0,0.0,HV_BULL,
2020-08-19,0.1530163482801638,0.14589394123914468,1.0,0.0,HV_BULL,
2020-08-20,0.1716165507080558,0.14789544862815146,1.0,0.0,HV_BULL,
2020-08-21,0.1577510475402738,0.1494099154000053,1.0,0.0,HV_BULL,
2020-08-22,0.1619004107518349,0.1511566699150131,1.0,0.0,HV_BULL,
2020-08-23,0.1766607733079304,0.15309771771063183,1.0,0.0,HV_BULL,
2020-08-24,0.1771322805333459,0.15538474174560435,1.0,0.0,HV_BULL,
2020-08-25,0.1744935163426083,0.1571653835738748,1.0,0.0,HV_BULL,
2020-08-26,0.1913783672535983,0.16109913951517327,1.0,0.0,HV_BULL,
2020-08-27,0.1857241887287523,0.164118466243598,1.0,0.0,HV_BULL,
2020-08-28,0.2190807702000649,0.16896173987395074,1.0,0.0,HV_BULL,
2020-08-29,0.2203751637272941,0.17241496995928568,1.0,0.0,HV_BULL,
2020-08-30,0.2445992093663051,0.17866574559497225,1.0,-1.0,HV_BULL,
2020-08-31,0.264416963718377,0.18586231783628548,1.0,-1.0,HV_BULL,
2020-09-01,0.242337087817115,0.19012916395615878,1.0,-1.0,HV_BULL,
2020-09-02,0.2296162587870225,0.1940258007003463,1.0,-1.0,HV_BULL,
2020-09-03,0.1992138707654977,0.19663633101344982,1.0,0.0,HV_BULL,
2020-09-04,0.2007107222108609,0.19804396558674034,1.0,0.0,HV_BULL,
2020-09-05,0.1473575338770624,0.19630363787281005,-1.0,0.0,HV_BULL,
2020-09-06,0.1759344466572865,0.19558873617882008,-1.0,0.0,HV_BULL,
2020-09-07,0.165961086580682,0.19675627347258345,-1.0,0.0,HV_BULL,
2020-09-08,0.1436321305199645,0.1970257166765929,-1.0,0.0,HV_BULL,
2020-09-09,0.2042179258114236,0.1965006684898403,1.0,0.0,HV_BULL,
2020-09-10,0.2008782845967568,0.19789678860770424,1.0,0.0,HV_BULL,
2020-09-11,0.2037213294491561,0.19889587308007525,1.0,0.0,HV_BULL,
2020-09-12,0.1989883236863227,0.19963985039209053,-1.0,0.0,HV_BULL,
2020-09-13,0.1919316473009191,0.2002816052511926,-1.0,0.0,HV_BULL,
2020-09-14,0.1954657414497225,0.20061763424648912,-1.0,0.0,HV_BULL,
2020-09-15,0.1813962030225102,0.2009711534589565,-1.0,0.0,HV_BULL,
2020-09-16,0.1581357877315252,0.19948853242411213,-1.0,0.0,HV_BULL,
2020-09-17,0.1814919094900989,0.19754634088745018,-1.0,0.0,HV_BULL,
2020-09-18,0.1948721073674494,0.19646182867250406,-1.0,0.0,HV_BULL,
2020-09-19,0.1917191984706946,0.19420622777510854,-1.0,0.0,HV_BULL,
2020-09-20,0.1816372004863345,0.19127406489520862,-1.0,0.0,HV_BULL,
2020-09-21,0.1771680435219996,0.18841804161437647,-1.0,0.0,HV_BULL,
2020-09-22,0.1871053456836164,0.18571660899428508,1.0,0.0,HV_BULL,
2020-09-23,0.1826410984633874,0.183761379606235,-1.0,0.0,HV_BULL,
2020-09-24,0.2022013804399754,0.18352042918167616,1.0,0.0,HV_BULL,
2020-09-25,0.2059374016251713,0.18555794712949808,1.0,0.0,HV_BULL,
2020-09-26,0.2042055140242401,0.18696698735234318,1.0,0.0,HV_BULL,
2020-09-27,0.2078823667657724,0.18808123689970635,1.0,0.0,HV_BULL,
2020-09-28,0.1957573568375937,0.189365431664557,1.0,0.0,HV_BULL,
2020-09-29,0.1981570663570922,0.1901851683649283,1.0,0.0,LV_BULL,
2020-09-30,0.1969545883058129,0.18883701338968162,1.0,0.0,LV_BULL,
2020-10-01,0.1963459024510016,0.18822003815203014,1.0,0.0,LV_BULL,
2020-10-02,0.181102629132542,0.18772332221302498,-1.0,0.0,LV_BULL,
2020-10-03,0.178117502013069,0.18723660358625333,-1.0,0.0,LV_BULL,
2020-10-04,0.1751095931470919,0.18641808154179546,-1.0,0.0,LV_BULL,
2020-10-05,0.1867494878306396,0.18635573697564892,1.0,0.0,LV_BULL,
2020-10-06,0.1526751649221077,0.18797145923593164,-1.0,1.0,LV_BULL,
2020-10-07,0.1622871454773341,0.18816874888174084,-1.0,1.0,LV_BULL,
2020-10-08,0.1693781374291174,0.1864681160478336,-1.0,1.0,LV_BULL,
2020-10-09,0.183386798905942,0.1857791043542649,-1.0,0.0,LV_BULL,
2020-10-10,0.1739016760267447,0.1855157233291373,-1.0,0.0,LV_BULL,
2020-10-11,0.1743758666683946,0.18598412995000504,-1.0,0.0,LV_BULL,
2020-10-12,0.1860660130411507,0.18598725630184032,1.0,0.0,LV_BULL,
2020-10-13,0.1735328935505343,0.18569353744047243,-1.0,0.0,LV_BULL,
2020-10-14,0.170527491356619,0.18393044934561892,-1.0,0.0,LV_BULL,
