ticker,strategy,hmm_mode,CAGR,Sharpe,MaxDD,TotalReturn,Volatility,HitRate,AvgExposure,Turnover,N
BTC,BuyHold,-,0.8231727713255153,1.178060476815506,-0.9274863345469115,911398.5732023423,0.7457257224143156,0.5298714831538729,0.9998263285863147,1.0,5758
BTC,MOM,-,0.4165556492176157,0.8415600097096826,-0.9015141365893341,2853.7537781071665,0.7444853385653074,0.5156304272316776,0.9991316429315734,1127.0,5758
BTC,MR,-,-0.5687086991247945,-1.1813787690005608,-0.9999999964733359,-0.9999999954835176,0.5635300896631313,0.1896491837443557,0.4100382077110108,425.0,5758
BTC,MOM+HMM,IS,0.4128112840565481,0.9029507814137088,-0.7649396247969401,2686.223729575308,0.5431175700674992,0.26345953456061133,0.5166724557137895,764.0,5758
BTC,MR+HMM,IS,-0.26093120362095934,-0.6474144665638667,-0.9993241813280436,-0.9990010277557456,0.362696832726809,0.12156998957971518,0.26398054880166727,319.0,5758
BTC,HYB_default,IS,-0.3021543480804241,-0.33672494425257954,-0.9999033649036462,-0.999730830553109,0.562941053249107,0.24505036470996874,0.49843695727683224,749.0,5758
BTC,MOM+HMM,WF,0.31315963757611076,0.9134733922295254,-0.7070559687829683,504.1979187730146,0.3740217810053037,0.27787426189649184,0.5376866967697117,852.0,5758
BTC,MR+HMM,WF,-0.1812706459626784,-0.6375498314724376,-0.9947949898199286,-0.9896408005097634,0.2594165688350882,0.09656130600903091,0.2019798541160125,325.0,5758
BTC,HYB_default,WF,-0.1687821050420536,-0.30244952330337654,-0.992553580997726,-0.9853597387392066,0.37596268969660884,0.23775616533518582,0.4876693296283432,901.0,5758
ETH,BuyHold,-,0.631007953173633,0.9946802654010977,-0.9399844090352256,1981.8260651293103,0.8575209986878229,0.5057530043467144,0.9997443109179238,1.0,3911
ETH,MOM,-,0.4818787158316158,0.8822644627133879,-0.781263525106468,446.69822764428767,0.8531636518357056,0.5044745589363334,0.998721554589619,805.0,3911
ETH,MR,-,-0.48459089463010796,-0.7798244331423055,-0.9999867264280236,-0.9999659085027635,0.6045921613964829,0.1968805931986704,0.4047558169266172,308.0,3911
ETH,MOM+HMM,IS,0.4277499958199966,0.9052095208311618,-0.8799359653814358,250.29109145581694,0.5670883573274524,0.2623369982101764,0.5100997187420098,501.0,3911
ETH,MR+HMM,IS,-0.2382826764014212,-0.47155787123354403,-0.9901453042315956,-0.985362764923742,0.4036345253308134,0.11148043978522117,0.22909741754027102,200.0,3911
ETH,HYB_default,IS,-0.13658208781138537,0.03799355415815655,-0.9606138745729949,-0.8976327859537769,0.577443595132213,0.2413704934799284,0.4789056507287139,511.0,3911
ETH,MOM+HMM,WF,0.4607337546362318,0.9551440636791639,-0.5830141135170358,357.19276324004585,0.5532095273167942,0.2753771413960624,0.5366913832779341,589.0,3911
ETH,MR+HMM,WF,-0.24162970793123528,-0.6057033536034763,-0.9914273186933985,-0.9863297320631274,0.35191512565094474,0.09204806954743032,0.1922781897212989,212.0,3911
ETH,HYB_default,WF,-0.022247737188607508,0.22147526898557238,-0.7138532464384638,-0.29473393411541093,0.5280517699901318,0.2411148043978522,0.47353618000511377,581.0,3911
XRP,BuyHold,-,0.3870862921228009,0.7746316953828378,-0.9490458901291527,254.44688832761656,1.0901777614169579,0.4877020379479972,0.9997657531037714,1.0,4269
XRP,MOM,-,0.017355132599856438,0.5164803523968958,-0.9909899078088356,0.3384096873677471,1.0788017604904931,0.4951979386273132,0.9988287655188569,987.0,4269
XRP,MR,-,-0.7010041171931919,-0.7585437746929605,-0.9999999996476959,-0.9999999986892528,0.7951203765958358,0.2016865776528461,0.4080580932302647,366.0,4269
XRP,MOM+HMM,IS,0.35325889030470936,0.7357792660673813,-0.9603204118046947,167.13371930921917,0.8813680006787822,0.30733192785195595,0.6123213867416257,669.0,4269
XRP,MR+HMM,IS,-0.0974305061218097,-0.10298917048920962,-0.8842612153229061,-0.8238749935761565,0.3581742997001772,0.09533848676505036,0.1906769735301007,226.0,4269
XRP,HYB_default,IS,-0.6220013450684756,-0.4374812437680883,-0.9999999910496574,-0.9999999304201136,0.8026208489576858,0.27313188100257674,0.5382993675333801,659.0,4269
