strat_full,BTC,ETH,HYPE,SOL,XRP
BuyHold(-),-0.9274863345469115,-0.9399844090352256,-0.691891342865284,-0.9549703667238274,-0.9490458901291527
MOM(-),-0.9015141365893341,-0.781263525106468,-0.8582330509022041,-0.9979127972451639,-0.9909899078088356
MR(-),-0.9999999964733359,-0.9999867264280236,-0.5315701877748462,-0.9998041913396986,-0.9999999996476959
MOM+HMM(IS),-0.7649396247969401,-0.8799359653814358,-0.44730551106565397,-0.9967926437393504,-0.9603204118046947
MR+HMM(IS),-0.9993241813280436,-0.9901453042315956,-0.36887887948414755,-0.8904840560109246,-0.8842612153229061
HYB_default(IS),-0.9999033649036462,-0.9606138745729949,-0.313953309283837,-0.9999693260726783,-0.9999999910496574
MOM+HMM(WF),-0.7070559687829683,-0.5830141135170358,,-0.8974171735923046,-0.9739028496081257
MR+HMM(WF),-0.9947949898199286,-0.9914273186933985,,-0.9322852731233263,-0.9983835716392002
HYB_default(WF),-0.992553580997726,-0.7138532464384638,,-0.9909919946675979,-0.9999942921533687
